symbol,date,open,high,low,close,volume,adjusted,ticker,djia
BA,2020-01-28,318.049988,319.359985,314,316.559998,5502200,314.687714,BA,1
BA,2020-01-29,324.350006,327.179993,319.140015,322.019989,12454700,320.115387,BA,1
BA,2020-01-30,320.5,325.350006,317.640015,323.299988,6022000,321.387817,BA,1
BA,2020-01-31,321.75,321.929993,316.98999,318.269989,4999600,316.387573,BA,1
BA,2020-02-03,318.75,320.73999,314.880005,316,4847700,314.131012,BA,1
BA,2020-02-04,318.279999,319.480011,315.029999,317.940002,3779800,316.05954,BA,1
BA,2020-02-05,320.5,329.679993,319.230011,329.549988,6071800,327.600861,BA,1
BA,2020-02-06,330.910004,343.440002,325.660004,341.429993,12845500,339.410614,BA,1
BA,2020-02-07,340.369995,340.73999,335.690002,336.75,5337800,334.758301,BA,1
BA,2020-02-10,337.220001,345.940002,336.320007,344.670013,5876400,342.63147,BA,1
BA,2020-02-11,347.640015,348.070007,342.100006,344.420013,5311500,342.382935,BA,1
BA,2020-02-12,346.420013,349.950012,345.850006,347.450012,4421500,345.39502,BA,1
BA,2020-02-13,344.320007,347.890015,342.630005,342.820007,3783100,342.820007,BA,1
BA,2020-02-14,342.299988,344.5,338,340.48999,4199800,340.48999,BA,1
BA,2020-02-18,338.769989,339.98999,336.100006,338.880005,2904600,338.880005,BA,1
BA,2020-02-19,338.119995,341.470001,335.859985,338.299988,4935700,338.299988,BA,1
BA,2020-02-20,338.290009,341.23999,335.390015,336.279999,2807500,336.279999,BA,1
BA,2020-02-21,334.049988,334.660004,330.230011,330.380005,3709900,330.380005,BA,1
BA,2020-02-24,320,321.73999,316.329987,317.899994,6073200,317.899994,BA,1
BA,2020-02-25,318.26001,320.640015,303.630005,304.140015,8052500,304.140015,BA,1
BA,2020-02-26,307,315.220001,304.059998,305.589996,6987300,305.589996,BA,1
BA,2020-02-27,300.369995,301,284.290009,287.76001,10982400,287.76001,BA,1
BA,2020-02-28,278.070007,282.859985,269.600006,275.109985,15375100,275.109985,BA,1
BA,2020-03-02,279.540009,291.709991,274.290009,289.269989,11012300,289.269989,BA,1
BA,2020-03-03,292,297.440002,278.079987,280.619995,7499300,280.619995,BA,1
BA,2020-03-04,284.549988,285.910004,277.01001,283.119995,6986100,283.119995,BA,1
BA,2020-03-05,275.790009,276.309998,259.649994,260.369995,14669100,260.369995,BA,1
BA,2020-03-06,253.699997,264.290009,249.800003,262.329987,12861800,262.329987,BA,1
BA,2020-03-09,238,241.479996,224.369995,227.169998,11585500,227.169998,BA,1
BA,2020-03-10,237,237.830002,215,231.009995,13059600,231.009995,BA,1
BA,2020-03-11,222.990005,226.990005,187,189.080002,28503500,189.080002,BA,1
BA,2020-03-12,160.529999,189.850006,154.809998,154.839996,31734400,154.839996,BA,1
BA,2020-03-13,174.970001,178.279999,161.380005,170.199997,21168500,170.199997,BA,1
BA,2020-03-16,149.419998,151,128.759995,129.610001,26844400,129.610001,BA,1
BA,2020-03-17,132.509995,134.960007,101.25,124.139999,54492200,124.139999,BA,1
BA,2020-03-18,99.860001,107.849998,89,101.889999,61943200,101.889999,BA,1
BA,2020-03-19,98.800003,103.57,90.349998,97.709999,40210600,97.709999,BA,1
BA,2020-03-20,99.849998,107,94.279999,95.010002,41370700,95.010002,BA,1
BA,2020-03-23,98.75,114.489998,93.559998,105.620003,46140100,105.620003,BA,1
BA,2020-03-24,123.68,127.959999,116.129997,127.68,43102800,127.68,BA,1
BA,2020-03-25,154.899994,174.770004,141,158.729996,77826000,158.729996,BA,1
BA,2020-03-26,172.289993,186.479996,167.179993,180.550003,63267300,180.550003,BA,1
BA,2020-03-27,172,172.919998,155.5401,162,47880171,162,BA,1
BA,2020-03-30,153.809998,153.809998,140.679993,152.279999,50982800,152.279999,BA,1
BA,2020-03-31,155,160.639999,149,149.139999,29954000,149.139999,BA,1
BA,2020-04-01,138.910004,144.380005,130,130.699997,41777100,130.699997,BA,1
BA,2020-04-02,128.509995,136.679993,120.019997,123.269997,42372400,123.269997,BA,1
BA,2020-04-03,125,131.289993,122.5,124.519997,36489379,124.519997,BA,1
BA,2020-04-06,133.699997,149.690002,129.210007,148.770004,51085500,148.770004,BA,1
BA,2020-04-07,162,164.800003,140.259995,141.580002,56699100,141.580002,BA,1
BA,2020-04-08,147.509995,154,144.550003,146.869995,41351000,146.869995,BA,1
BA,2020-04-09,154.710007,157.979996,150.089996,151.839996,38049500,151.839996,BA,1
BA,2020-04-13,155.5,156,146.259995,147.330002,25951500,147.330002,BA,1
CARR,2020-04-03,13.75,17,13.38,16.92,65502007,16.92,CARR,1
CAT,2020-01-02,149,150.550003,147.979996,150.529999,3311900,149.481476,CAT,1
CAT,2020-01-03,148.770004,149.960007,147.449997,148.440002,3100600,147.406036,CAT,1
CAT,2020-01-06,147.270004,148.559998,146.539993,148.339996,2549600,147.306717,CAT,1
CAT,2020-01-07,147.350006,147.570007,145.509995,146.380005,2841900,145.360382,CAT,1
CAT,2020-01-08,146.830002,148.570007,146.460007,147.679993,2153200,146.651321,CAT,1
CAT,2020-01-09,147.809998,147.970001,146.509995,147.309998,2272500,146.283905,CAT,1
CAT,2020-01-10,147.449997,147.720001,145.830002,146.130005,2393700,145.112122,CAT,1
