headlines,date,type
Warriors ,2020-01-10,topNewsHeadlines
 Season 2020 Cinematic - League of Legends (ft. 2WEI and Edda Hayes),2020-01-10,topNewsHeadlines
Team Trump's latest Clinton investigation ending with a whimper,2020-01-10,topNewsHeadlines
JUST IN: Court Approves $3.6 Billion For Border Wall; Trump Responds,2020-01-10,topNewsHeadlines
Massive <e2><80><98>Harry Potter<e2><80><99> store opening in New York this summer,2020-01-10,topNewsHeadlines
"Dow falls after topping 29,000 for first time earlier in the session",2020-01-10,topNewsHeadlines
Army Veteran Has Prosthetic Legs Repossessed After VA Refuses to Pay for Them: 'Medicare Did Not Send Me to Vietnam',2020-01-10,topNewsHeadlines
Mike Leach,2020-01-10,topTrendingOnSm
Pokemon Direct,2020-01-10,topTrendingOnSm
#JeffreyEpstein,2020-01-10,topTrendingOnSm
Neil Peart,2020-01-10,topTrendingOnSm
1917,2020-01-10,topTrendingOnSm
Vikings vs 49ers,2020-01-10,topTrendingOnSm
India vs Sri Lanka,2020-01-10,topTrendingOnSm
Alexis Eddy,2020-01-10,topTrendingOnSm
Celtics,2020-01-10,topTrendingOnSm
Underwater,2020-01-10,topTrendingOnSm
Barcelona vs Atl<c3><a9>tico Madrid,2020-01-10,topTrendingOnSm
#ThunderUp,2020-01-10,topTrendingOnSm
what the fuck goin on https://t.co/lM4y03PBPZ<e2><80><94> Gio (@Krazygioo) ,2020-01-11,topTweets
"Thanks for stopping by, Yugyeom. @GOT7Official | #ClipperNation https://t.co/HyEr8lOPFJ<e2><80><94> LA Clippers (@LAClippers) ",2020-01-11,topTweets
Surprising people with Justin Bieber https://t.co/ZZu7X1Vivw<e2><80><94> DAVID DOBRIK (@DavidDobrik) ,2020-01-11,topTweets
"Neil Peart, drummer and lyricist for rock band Rush, dies at 67",2020-01-11,topNewsHeadlines
Rush Drummer Neil Peart Dead at 67,2020-01-11,topNewsHeadlines
Trick Daddy Arrested For Cocaine Possession and DUI,2020-01-11,topNewsHeadlines
Grey's Anatomy Star Justin Chambers Leaving the Show After 16 Seasons,2020-01-11,topNewsHeadlines
Another powerful earthquake rocks Puerto Rico Saturday morning,2020-01-11,topNewsHeadlines
"Haley Kalil shoots for SI Swimsuit 2020 on Scrub Island, BVI",2020-01-11,topNewsHeadlines
Texas Becomes First State to Refuse Refugees Under Trump Order,2020-01-11,topNewsHeadlines
17-year-old discovers planet on third day of internship with NASA,2020-01-11,topNewsHeadlines
Iran Says It Unintentionally Shot Down Ukrainian Airliner,2020-01-11,topNewsHeadlines
Diego the sexy tortoise saved his species from extinction. Now he's back for more,2020-01-11,topNewsHeadlines
BREAKING: Iran Admits It Shot Down Passenger Plane Killing 176 People,2020-01-11,topNewsHeadlines
Harry Hains,2020-01-11,topTrendingOnSm
James Madison University,2020-01-11,topTrendingOnSm
Kendrick Perkins,2020-01-11,topTrendingOnSm
Gwyneth Paltrow,2020-01-11,topTrendingOnSm
Jeopardy! Greatest of All Time,2020-01-11,topTrendingOnSm
Joaquin Phoenix,2020-01-11,topTrendingOnSm
Seahawks vs Packers,2020-01-11,topTrendingOnSm
Liverpool,2020-01-11,topTrendingOnSm
Taiwan election,2020-01-11,topTrendingOnSm
"what the fuck goin on https://t.co/lM4y03PBPZ<e2><80><94> Gio (@Krazygioo) January 11, 2020It means you<e2><80><99>re going to lose. https://t.co/CVBKoKq8DT<e2><80><94> Bernie Sanders (@BernieSanders) ",2020-01-12,topTweets
"If you look closely at my necklace, you can see it<e2><80><99>s from a text Kanye sent me. He took an amazing vintage a Cartier gold plaque necklace and had it sketched out. He<e2><80><99>s always the most thoughtful when it comes to gifts <e2><9c><a8> https://t.co/zmzUq4zXer<e2><80><94> Kim Kardashian West (@KimKardashian) January 13, 2020",2020-01-12,topTweets
Diego the sexy tortoise saved his species from extinction. Now he's back for more,2020-01-12,topNewsHeadlines
"Rapper Trick Daddy arrested on cocaine, DUI charge in Miami, FL",2020-01-12,topNewsHeadlines
Quake-stunned Puerto Rico hit by another 5.9-magnitude shock,2020-01-12,topNewsHeadlines
Bill Cowher elected to Pro Football Hall of Fame Class of 2020,2020-01-12,topNewsHeadlines
We Broke Up.,2020-01-12,topNewsHeadlines
Flu leaves a 4-year-old girl blind in Iowa,2020-01-12,topNewsHeadlines
"Thousands flee as volcano erupts in the Philippines, Manila airport closed",2020-01-12,topNewsHeadlines
Trump issues warning to Iran: 'Do not kill your protesters ... the USA is watching',2020-01-12,topNewsHeadlines
Protests erupt in Iran over plane's downing that killed 176,2020-01-12,topNewsHeadlines
Illinois service member ID<e2><80><99>d as one of two killed in Afghanistan by IED,2020-01-12,topNewsHeadlines
"<e2><80><98>DEATH TO LIARS!<e2><80><99>: Iranians Turn On Ayatollah, Demand Resignation Over Shot Down Plane",2020-01-12,topNewsHeadlines
James Madison University,2020-01-12,topTrendingOnSm
Puerto Rico earthquake,2020-01-12,topTrendingOnSm
Lakers vs Thunder,2020-01-12,topTrendingOnSm
Liverpool,2020-01-12,topTrendingOnSm
Green Bay Packers,2020-01-12,topTrendingOnSm
Jeffree Star,2020-01-12,topTrendingOnSm
Trick Daddy,2020-01-12,topTrendingOnSm
Taal Volcano,2020-01-12,topTrendingOnSm
La Parka,2020-01-12,topTrendingOnSm
Purdue basketball,2020-01-12,topTrendingOnSm
Lonnie Johnson,2020-01-12,topTrendingOnSm
49ers,2020-01-12,topTrendingOnSm
"ugh i love this, tweeting this so i<e2><80><99>ll never lose it https://t.co/sSLw9sjghR<e2><80><94> joaquina* <f0><9f><a6><8b> (@floresxjaay) January 12, 2020goodnight <f0><9f><96><a4> https://t.co/jLXPKRlt64<e2><80><94> Chilombo (@JheneAiko) ",2020-01-13,topTweets
[17'S <eb><8f><84><ea><b2><b8>] Thank you Chicago CARATs<f0><9f><92><95>I had so much fun!#ODETOYOUwithSVT#NowSVT https://t.co/6W31niJC75<e2><80><94> <ec><84><b8><eb><b8><90><ed><8b><b4>(SEVENTEEN) (@pledis_17) ,2020-01-13,topTweets
"Thousands flee as volcano erupts in the Philippines, Manila airport closed",2020-01-13,topNewsHeadlines
<e2><80><98>THIS IS AMERICA<e2><80><99>: Deafening Cheers Break Out For Trump At National Championship Game,2020-01-13,topNewsHeadlines
Cory Booker drops out of the presidential race,2020-01-13,topNewsHeadlines
Serena Williams tennis: Serena Williams wins first title in three years,2020-01-13,topNewsHeadlines
Jimmy Johnson joins Bill Cowher as NFL coaches to be part of Hall of Fame's centennial class of 2020,2020-01-13,topNewsHeadlines
Chiefs scored so many touchdowns that the stadium ran out of fireworks,2020-01-13,topNewsHeadlines
