date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-04-01,MI,12888,27237,NA,NA,NA,NA,NA,NA,NA,NA,0792f1570e8e7519be93e514a705700ec6daeb6d,337,NA,40125,40125,40125,26,78,0,3258,1013,4271
2020-04-01,MN,689,20502,NA,54,122,27,27,NA,NA,NA,f3620fcfc12dce927a8e2f46922b59df0e351756,17,122,21191,21191,21191,27,5,10,1351,60,1411
2020-04-01,MO,1581,15846,NA,NA,NA,NA,NA,NA,NA,NA,dc97aa93ab282b95a3c23db92cd5efdf0b46ac22,18,NA,17427,17427,17427,29,4,0,1232,254,1486
2020-04-01,MP,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5fb1a4bb5496638fbba1216c23902a9938e1eaac,NA,NA,6,6,6,69,0,0,0,4,4
2020-04-01,MS,1073,3712,NA,NA,332,NA,NA,NA,NA,NA,03c61b979c5d42a05f6620424c0f7090acc01647,22,332,4785,4785,4785,28,2,121,175,136,311
2020-04-01,MT,208,4710,NA,NA,17,NA,NA,NA,NA,NA,5c9460763670b2514d789493ad77a8e06dc8bcc2,5,17,4918,4918,4918,30,1,3,476,24,500
2020-04-01,NC,1584,24659,NA,204,NA,NA,NA,NA,NA,NA,70807abafbcbc2da31b4f44c7523196116df4f15,10,NA,26243,26243,26243,37,2,0,3051,86,3137
2020-04-01,ND,142,4351,NA,NA,23,NA,NA,NA,NA,34,d5fcb30b1ccee3f5ace04e24072d51272e7e9d5b,3,23,4493,4493,4493,38,0,2,220,16,236
2020-04-01,NE,210,3475,8,NA,NA,NA,NA,NA,NA,NA,a736e9df99d379949dec4b420b4fe03c5a5b32b4,4,NA,3693,3685,3685,31,1,0,544,38,582
2020-04-01,NH,415,5985,97,NA,56,NA,NA,NA,NA,56,0a1a84677bbb59edf20b69ca4a71ad7f70bae202,4,56,6497,6400,6400,33,1,11,572,101,673
2020-04-01,NJ,22255,30387,NA,2000,NA,NA,NA,NA,NA,NA,970ca703cb183143daa9b6b3cb9b5b95746de860,355,NA,52642,52642,52642,34,88,0,3310,3559,6869
2020-04-01,NM,315,12925,NA,24,NA,NA,NA,NA,NA,26,3beefaa3bff9114ea2bf131529a2f0e13eecd129,5,NA,13240,13240,13240,35,1,0,679,34,713
2020-04-01,NV,1279,11519,NA,NA,NA,NA,NA,NA,NA,NA,99ca8c448bcd3a57ffe6454db6a4b2533447a96b,26,NA,12798,12798,12798,32,9,0,838,166,1004
2020-04-01,NY,83712,137168,NA,12226,18368,3022,NA,NA,NA,6142,0b906bb4c9631eecca95b6183d50bee067b4bbc2,1941,18368,220880,220880,220880,36,391,2464,7777,7917,15694
2020-04-01,OH,2547,26992,NA,NA,679,NA,222,NA,NA,NA,9742acfe1c987695868db136a9cc02a8e558dc7d,65,679,29539,29539,29539,39,10,94,0,348,348
2020-04-01,OK,719,1248,NA,174,219,98,NA,NA,NA,NA,857cacccae911c7d1d0003cb7fc05aa82d7ac1f1,30,219,1967,1967,1967,40,7,42,19,154,173
2020-04-01,OR,736,13136,NA,132,154,NA,NA,40,NA,NA,1f1edcb802acf42ba4967cdfed4f48c270347c97,18,154,13872,13872,13872,41,0,0,0,46,46
2020-04-01,PA,5805,42427,NA,NA,620,NA,NA,NA,NA,NA,575ea7e224d4f1f6797bed8fe0a7902daad3ffab,74,620,48232,48232,48232,42,11,106,4782,962,5744
2020-04-01,PR,286,1409,897,NA,NA,NA,NA,NA,NA,NA,ae0129f382eb5f04d790633ebc4cfb9e7e00f89a,11,NA,2592,1695,1695,72,3,0,214,47,261
2020-04-01,RI,566,3831,NA,60,NA,14,NA,6,NA,35,d6bd45c8f92d8d9e8b397cf13b291acb33c74944,10,NA,4397,4397,4397,44,2,0,355,77,432
2020-04-01,SC,1293,5033,NA,NA,349,NA,NA,NA,NA,NA,a321818d113ea1e8063433667ca10f117f264d11,26,349,6326,6326,6326,45,4,90,417,210,627
2020-04-01,SD,129,3903,0,NA,12,NA,NA,NA,NA,51,321e6948f2b0f05bf9e515252aed1d4ec4873a57,2,12,4032,4032,4032,46,1,0,294,21,315
2020-04-01,TN,2683,29769,NA,NA,200,NA,NA,NA,NA,137,9e9bb3593287cbf3b938263422d21dba45a771e1,24,200,32452,32452,32452,47,1,25,4648,444,5092
2020-04-01,TX,3997,43860,NA,196,NA,NA,NA,NA,NA,38,acd01e7eaf0e46a8473dd525c35a0c4fecbeca15,58,NA,47857,47857,47857,48,17,0,4134,731,4865
2020-04-01,UT,1012,20155,NA,NA,91,NA,NA,NA,NA,NA,3060e79ad1d88a94c41b61754e101f096b677716,7,91,21167,21167,21167,49,2,18,2529,125,2654
2020-04-01,VA,1484,13860,NA,NA,305,NA,145,NA,108,NA,3978f9b311c4141c1b8cab5ace841ef8bff698d3,34,305,15344,15344,15344,51,7,140,1709,234,1943
2020-04-01,VI,30,126,24,NA,NA,NA,NA,NA,NA,21,a7b58dc10565c19782a05701feaed42d38a8fb8e,NA,NA,180,156,156,78,0,0,0,0,0
2020-04-01,VT,321,4174,NA,30,45,NA,NA,NA,NA,15,09d62e8a97e7673d2cb199f97cefebe931639672,16,45,4495,4495,4495,50,3,9,217,28,245
2020-04-01,WA,6593,60566,NA,NA,NA,NA,NA,NA,NA,NA,5a06ee8615f04252b8daad2ab210de17cdd302f7,270,NA,67159,67159,67159,53,18,0,0,563,563
2020-04-01,WI,1550,18819,NA,NA,398,NA,NA,NA,NA,NA,3a304dc1edaaf3c59465b033f7b4aa76ad3dec32,24,398,20369,20369,20369,55,8,61,1444,199,1643
2020-04-01,WV,191,4384,NA,NA,1,NA,NA,NA,NA,NA,264082faaa6983c76d88bf13c4444943677bfd72,1,1,4575,4575,4575,54,0,0,403,29,432
